week,date,display,type,topic,resources,note
1,2025-09-03,,class,Welcome and warm up,[syllabus](/files/111fall25/111F01F02_syllabus.pdf) ❦ [learning tracker](https://docs.google.com/spreadsheets/d/1kQJSsownvNRTJtnG168zJCUCUWCPNhpPiioZoSMIN_E/edit?usp=sharing),
1,2025-09-05,,class,[How do we measure velocity?](https://activecalculus.org/single2e/sec-1-1-vel.html),[demo](https://www.desmos.com/calculator/vahuvi4ht1),
2,2025-09-08,,class,[The notion of limit](https://activecalculus.org/single2e/sec-1-2-lim.html),,
2,2025-09-10,,class,[The derivative of a function at a point](https://activecalculus.org/single2e/sec-1-3-derivative-pt.html),[demo](https://www.desmos.com/calculator/pyqgmvhl5x),
2,2025-09-12,,class,"Quiz (D.1, D.2)",[The derivative function](https://activecalculus.org/single2e/sec-1-4-derivative-fxn.html) ❦ [demo](https://www.desmos.com/calculator/kmbntnx6xf),
3,2025-09-15,,class,"[Interpreting, estimating, and using the derivative](https://activecalculus.org/single2e/sec-1-5-units.html)",,
3,2025-09-17,,class,[The second derivative](https://activecalculus.org/single2e/sec-1-6-second-d.html),,
3,2025-09-19,,class,[HW due](/files/111fall25/hw/week03.pdf),"[Limits, continuity, and differentiability](https://activecalculus.org/single2e/sec-1-7-lim-cont-diff.html)",
4,2025-09-22,,class,[The tangent line approximation](https://activecalculus.org/single2e/sec-1-8-tan-line-approx.html),,
4,2025-09-24,,class,[Elementary derivative rules](https://activecalculus.org/single2e/sec-2-1-elem-rules.html),,
4,2025-09-26,,class,"Quiz (D.3, DR.1)",,
5,2025-09-29,,class,[The sine and cosine functions](https://activecalculus.org/single2e/sec-2-2-sin-cos.html),[demo](https://www.desmos.com/calculator/b81d480908),
5,2025-10-01,,class,[The product and quotient rules](https://activecalculus.org/single2e/sec-2-3-prod-quot.html),,
5,2025-10-03,,class,[HW due](/files/111fall25/hw/week05.pdf),[Derivatives of other trigonometric functions](https://activecalculus.org/single2e/sec-2-4-other-trig.html),
6,2025-10-06,,class,[The chain rule](https://activecalculus.org/single2e/sec-2-5-chain.html),,
6,2025-10-08,,class,[Derivatives of inverse functions](https://activecalculus.org/single2e/sec-2-6-inverse.html),[demo](https://www.desmos.com/calculator/u8qdsfnejq),
6,2025-10-10,,class,"Quiz (DR.2, DR.3, DR.4)",,
7,2025-10-13,,class,[Derivatives of functions given implicitly](https://activecalculus.org/single2e/sec-2-7-implicit.html),[demo 1](https://www.desmos.com/calculator/xtnmmwy7bp) ❦ [demo 2](https://www.desmos.com/calculator/az33jqdvmh),
7,2025-10-15,,class,[Related rates](https://activecalculus.org/single2e/sec-3-1-rel-rates.html),,
7,2025-10-17,,class,[HW due](/files/111fall25/hw/week07.pdf),[Using derivatives to identify extreme values](https://activecalculus.org/single2e/sec-3-3-tests.html),
8,2025-10-20,,class,[Global optimization](https://activecalculus.org/single2e/sec-3-5-optimization.html),,
8,2025-10-22,,class,[Applied optimization](https://activecalculus.org/single2e/sec-3-6-applied-opt.html),,
8,2025-10-24,,class,"Quiz (AD.1, AD.2, AD.3)",,
9,2025-10-27,,class,[Determining distance traveled from velocity](https://activecalculus.org/single2e/sec-4-1-velocity-distance.html),,
9,2025-10-29,,class,[Riemann sums](https://activecalculus.org/single2e/sec-4-2-Riemann.html),,
9,2025-10-31,,class,[HW due](/files/111fall25/hw/week09.pdf),[The definite integral](https://activecalculus.org/single2e/sec-4-3-definite-integral.html),
10,2025-11-03,,class,[The fundamental theorem of calculus](https://activecalculus.org/single2e/sec-4-4-FTC.html),,
10,2025-11-05,,class,[Constructing accurate graphs of antiderivatives](https://activecalculus.org/single2e/sec-5-1-antid-graphs.html),,
10,2025-11-07,,class,"Quiz (I.1, I.2, I.3)",,
11,2025-11-10,,class,[The second fundamental theorem of calculus](https://activecalculus.org/single2e/sec-5-2-FTC2.html),,
11,2025-11-12,,class,[Integration by substitution](https://activecalculus.org/single2e/sec-5-3-substitution.html),,
11,2025-11-14,,class,[HW due](/files/111fall25/hw/week11.pdf),[Integration by parts](https://activecalculus.org/single2e/sec-5-4-parts.html),
12,2025-11-17,,class,[Other options for finding algebraic antiderivatives](https://activecalculus.org/single2e/sec-5-5-other-opt.html),,
12,2025-11-19,,class,[Using definite integrals to find area and length](https://activecalculus.org/single2e/sec-6-1-area.html),[demo 1](https://www.desmos.com/calculator/68zu40vrtm) ❦ [demo 2](https://www.desmos.com/calculator/g00iut3j2g) ❦ [demo 3](https://www.desmos.com/calculator/z56439i40x) ❦ [integration in sage](https://doc.sagemath.org/html/en/reference/calculus/sage/symbolic/integration/integral.html) ❦ [sage cell server](https://sagecell.sagemath.org/),
12,2025-11-21,,break,Thanksgiving break 🦃,,
13,2025-11-24,,class,[Using definite integrals to find volume](https://activecalculus.org/single2e/sec-6-2-volume.html),[demo 1](https://www.desmos.com/3d/hc1umz8sj4) ❦ [demo 2](https://www.desmos.com/3d/2ws5ykfhy4) ❦ [demo 3](https://www.desmos.com/3d/oje0azbqeb),
13,2025-11-26,,class,"[Density, mass, and center of mass](https://activecalculus.org/single2e/sec-6-3-mass.html)",,
13,2025-11-28,,class,"Quiz (IR.1, IR.2, IR.3)",,
14,2025-12-01,,class,A glimpse of Taylor series,[demo](https://www.desmos.com/calculator/utqof8496v),
14,2025-12-03,,class,Student choice + course evaluations (bring your laptop 💻),,
14,2025-12-05,,class,Reading period 📚 (optional review session 13:40-14:30 in Lib 204),,
finals week,2025-12-17,,final,Final exam 6-8pm in Eliot 314,,
