week,date,display,type,topic,resources,hw,hw_due,submit,submit_by,note
1,2026-08-31,,class,Welcome and warm up,,,,,,no reading ❦ [in-class activity](/files/111fall26/speed-camera-slides.pdf)
1,2026-09-02,,class,"Varying quantities: units, estimation, and covariation",,,,,,[syllabus](/files/111fall26/111_syllabus.pdf) (remember to submit a [reading reflection](https://docs.google.com/forms/d/e/1FAIpQLSdxdgkPt8zIwbsTJmZi3FsvcsQxY0sLmPuc_-qDOIrcYaZ_jg/viewform)!) ❦ [anonymous AI survey](https://docs.google.com/forms/d/e/1FAIpQLSf1XyN1pvRszsL5eLmeiEfqrwp7W7NyBAKkl9DVIyH-NG5flg/viewform)
1,2026-09-04,,class,[How do we measure velocity?](https://activecalculus.org/single2e/sec-1-1-vel.html),,,,,,
2,2026-09-07,,break,Labor Day — no class ☭,,,,,,
2,2026-09-09,,class,[The derivative of a function at a point](https://activecalculus.org/single2e/sec-1-3-derivative-pt.html),,,,,,"includes the limit language from 1.2 ❦ homework 1 (forthcoming) — due Friday, September 18"
2,2026-09-11,,class,[The derivative function](https://activecalculus.org/single2e/sec-1-4-derivative-fxn.html),,,,,,
3,2026-09-14,,class,"[Interpreting, estimating, and using the derivative](https://activecalculus.org/single2e/sec-1-5-units.html)",,,,,,
3,2026-09-16,,class,[The second derivative](https://activecalculus.org/single2e/sec-1-6-second-d.html),,,,,,
3,2026-09-18,,class,"[Limits, continuity, and differentiability](https://activecalculus.org/single2e/sec-1-7-lim-cont-diff.html)",,,,,,homework 1 due by 10pm
4,2026-09-21,,class,[The tangent line approximation](https://activecalculus.org/single2e/sec-1-8-tan-line-approx.html),,,,,,
4,2026-09-23,,review,Review,,,,,,practice exam posted one week ahead ❦ bring questions
4,2026-09-25,,exam,Exam 1,,,,,,in class ❦ covers everything through the tangent line approximation
5,2026-09-28,,class,[Elementary derivative rules](https://activecalculus.org/single2e/sec-2-1-elem-rules.html),,,,,,"homework 2 (forthcoming) — due Friday, October 9"
5,2026-09-30,,class,[The sine and cosine functions](https://activecalculus.org/single2e/sec-2-2-sin-cos.html),,,,,,
5,2026-10-02,,class,[The product and quotient rules](https://activecalculus.org/single2e/sec-2-3-prod-quot.html),,,,,,tangent and secant derivatives in passing (1.2 and 2.4 are not assigned)
6,2026-10-05,,class,[The chain rule](https://activecalculus.org/single2e/sec-2-5-chain.html),,,,,,
6,2026-10-07,,class,[Derivatives of inverse functions](https://activecalculus.org/single2e/sec-2-6-inverse.html),,,,,,
6,2026-10-09,,class,[Related rates](https://activecalculus.org/single2e/sec-3-1-rel-rates.html),,,,,,homework 2 due by 10pm
