week,date,display,type,topic,resources,note
1,2025-01-27,,class,Welcome & warmup,[intake survey](https://forms.gle/5ewmtt5BDPmGG6cj7) ❦ [notes](/files/411/411_01.pdf) ❦ [demo 1](https://sage.brandoncurtis.com/fourier.html) ❦ [demo 2](https://gofigure.impara.ai),
1,2025-01-29,,review,Review of inner product spaces,[notes](/files/411/411_02.pdf),
1,2025-01-31,,review,Review of $L^2$ and Hilbert spaces,[notes](/files/411/411_03.pdf),
2,2025-02-03,,class,,Fourier series [notes](/files/411/411_04.pdf) ❦ [demo 1](https://www.desmos.com/calculator/vlqqofyaij) ❦ [demo 2](https://www.desmos.com/calculator/dp1ynlaiwb),
2,2025-02-05,,class,Dirac kernels and the inversion theorem,[homework due](/files/411/week02.pdf) ❦ [notes](/files/411/411_05.pdf) ❦ [demo](https://www.desmos.com/calculator/ay5ip2sj7p),
2,2025-02-07,,class,Examples,,
3,2025-02-10,,class,Weyl's equidistribution theorem,[notes](/files/411/411_07.pdf) ❦ [demo 1](https://www.desmos.com/calculator/mcqlmavwbe) ❦ [demo 2](https://www.desmos.com/calculator/rzwkea6hdw),
3,2025-02-12,,class,Riemann zeta values,[homework due](/files/411/week03.pdf) ❦ [notes](/files/411/411_08.pdf),
3,2025-02-14,,class,Snow day ❄️,,
4,2025-02-17,,class,Operators on Hilbert spaces,[notes](/files/411/411_09.pdf),
4,2025-02-19,,class,,Heat equation [homework due](/files/411/week04.pdf) ❦ [notes](/files/411/411_10.pdf) ❦ [3b1b](https://www.youtube.com/watch?v=ly4S0oi3Yz8&list=PLZHQObOWTQDNPOjrT6KVlfJuKtYTftqH6&index=2&ab_channel=3Blue1Brown),
4,2025-02-21,,class,Solving the heat equation,[notes](/files/411/411_11.pdf),
5,2025-02-24,,class,Eigenbasis method and the wave equation,[notes](/files/411/411_12.pdf) ❦ [demo](https://www.desmos.com/calculator/a034h2mua5),
5,2025-02-26,,class,Fourier transform,[homework due](/files/411/week05.pdf) ❦ [notes](/files/411/411_13.pdf),
5,2025-02-28,,class,Schwartz space,[notes](/files/411/411_14.pdf),
6,2025-03-03,,class,Inversion theorem for Fourier transforms,[notes](/files/411/411_15.pdf),
6,2025-03-05,,class,Plancherel's theorem and Poisson summation,[homework due](/files/411/week06.pdf) ❦ [notes](/files/411/411_16.pdf),
6,2025-03-07,,exam,Exam review,,
7,2025-03-10,,class,Harmonic analysis preview,[midterm exam](/files/411/midterm.pdf) distributed ❦ [notes](/files/411/411_17.pdf),
7,2025-03-12,,cancelled,"no class, midterm exam due",,
7,2025-03-14,,class,Discuss projects,[project assignment](/files/411/project.pdf) ❦ [notes](/files/411/411_18.pdf),
8,2025-03-17,,class,Locally compact Abelian groups,[notes](/files/411/411_19.pdf),
8,2025-03-19,,class,Pontryagin duals of LCA groups,[homework due](/files/411/week08.pdf) ❦ [notes](/files/411/411_20.pdf),
8,2025-03-21,,class,Pontryagin duality for LCA groups,,
9,2025-03-31,,class,Haar integration,[project proposal due](/files/411/project.pdf) ❦ [notes](/files/411/411_22.pdf),
9,2025-04-02,,class,Fubini's theorem for Haar integrals,[homework due](/files/411/week09.pdf) ❦ [notes](/files/411/411_23.pdf),
9,2025-04-04,,class,Guest lecture: Josh Zahl,[notes](/files/411/411_24.pdf),
10,2025-04-07,,class,Plancherel's theorem for LCA groups,[notes](/files/411/411_25.pdf),
10,2025-04-09,,class,Fourier analysis on Euclidean space,[notes](/files/411/411_26.pdf),
10,2025-04-11,,class,Minkowski-Siegel's geometry of numbers via Fourier analysis I,[notes](/files/411/411_27.pdf),
11,2025-04-14,,class,Minkowski-Siegel's geometry of numbers via Fourier analysis II,[notes](/files/411/411_28.pdf),
11,2025-04-16,,class,Primes as sums of squares,[homework due](/files/411/week11.pdf) ❦ [notes](/files/411/411_29.pdf) ❦ [extremal body demo](https://www.desmos.com/calculator/81qqa1vbon) ❦ [$p=a^2+b^2$ demo](https://www.desmos.com/calculator/dce3llnqxg),
11,2025-04-18,,class,Poisson summation as a trace formula,[notes](/files/411/411_30.pdf),
12,2025-04-21,,class,"class optional (work time on drafts), paper draft due",,
12,2025-04-23,,cancelled,no class (practice presentations),,
12,2025-04-25,,class,"student presentations: DD (distributions), SG (Heisenberg uncertainty)",,
13,2025-04-28,,class,"student presentations: EW-S (discrete Fourier transform), NS (spectral bias and machine learning)",,
13,2025-04-30,,class,"student presentations: GW (central limit theorem), NE (Levy's continuity theorem)",,
13,2025-05-02,,class,student presentations: AK (Fourier transforms for non-Abelian groups),,
