week,week_dates,date,display,type,topic,reading,pages,supplemental,notes,recording,handout,homework,note
1,28 September - 30 September,2022-09-28,,class,"Welcome, warmup, and course policies",[Syllabus](/files/544/544syllabus.pdf) (finalized Friday),,,notes/day01,,notes/handout01W,,
1,28 September - 30 September,2022-09-30,,class,Topological spaces,,19–37,pp. 1-17,notes/day02,1089d3ca-5ee6-4c17-ac89-af200151f2aa,,https://forms.gle/jUHHdRV1w1NRV15A6,
2,3 October - 7 October,2022-10-03,,class,Manifolds,,38–45,,notes/day03,9143f239-53c8-4627-b773-af2301521ebd,,,
2,3 October - 7 October,2022-10-05,,class,"Subspaces, products",,49–64,,notes/day04,3fcc576e-9674-48f0-b48e-af2501520fa6,,,
2,3 October - 7 October,2022-10-07,,class,Quotients,,65–71,,notes/day05,b740427d-cfda-4a87-b06a-af270152a73f,,hw/week02,
3,10 October - 14 October,2022-10-10,,class,"More quotients, gluing, group actions",,71–81,,notes/day06,337a0625-73ef-4175-b19b-af2a0151f71b,,,
3,10 October - 14 October,2022-10-12,,class,Connectedness,,85–93,,notes/day07,2c5f592e-c5c4-473e-b07a-af2c01523979,,,
3,10 October - 14 October,2022-10-14,,class,Compactness,,94–103,,notes/day08,36620cad-3583-40aa-bc06-af2e0151f929,,hw/week03,
4,17 October - 21 October,2022-10-17,,class,Local and paracompactness,,104–114,,notes/day09,c2efada8-1c7b-4db4-95b0-af310151f68e,,,
4,17 October - 21 October,2022-10-19,,class,Partitions of unity and proper maps,,114–121,,notes/day10,868d4a24-8e32-452a-b4c0-af3301523455,,,
4,17 October - 21 October,2022-10-21,,class,Cell and CW complexes,,127–142,,notes/day11,7c6c28bb-f9a5-4ce8-8d03-af350153d333,,hw/week04,
5,24 October - 28 October,2022-10-24,,class,One-dimensional manifolds,,143–146,,notes/day12,9441fc52-b107-471f-9a4f-af380151e1ce,,,
5,24 October - 28 October,2022-10-26,,class,Surfaces via polygons,,159–172,,notes/day13,ca97de27-83dd-40c2-b76a-af3a0151dc07,,,
5,24 October - 28 October,2022-10-28,,class,Surface classification,,173–177,,notes/day14,15fcca1d-20ae-4076-b67e-af3c01520f6c,,hw/week05,
6,31 October - 4 November,2022-10-31,,class,Euler characteristic & orientability,,178–180,,notes/day15,09b6cb86-2090-478e-a3b1-af3f01689516,,,
6,31 October - 4 November,2022-11-02,,class,Homotopy & the fundamental group $\pi_1$,,183–192,,notes/day16,dfdad445-7e83-4ac4-8215-af410152747c,,,**Take-home midterm distributed at 9am on Gradescope**
6,31 October - 4 November,2022-11-04,,class,More on $\pi_1$,,192–200,,notes/day17,18ae2229-43a3-4a74-82ef-af43015256c8,,,**Take-home midterm due by 5pm**
7,7 November - 11 November,2022-11-07,,class,Homotopy equivalence,,200–207,,notes/day18,5ec980ad-1d78-4e0b-9f49-af460162903a,,,
7,7 November - 11 November,2022-11-09,,class,"Higher homotopy groups, categories & functors",,208–213,,notes/day19,45c89547-d6b5-42ea-a2d5-af480162a3fe,,,
7,7 November - 11 November,2022-11-11,,cancelled,"Veterans Day, **no class**",,,,,,,hw/week07,
8,14 November - 18 November,2022-11-14,,class,Lifting properties of the circle,,217–223,,notes/day20,1fdf4340-4128-44b1-9a8c-af4d01640fc6,,,
8,14 November - 18 November,2022-11-16,,class,$\pi_1(S^1)\cong \mathbb{Z}$,,224–229,,notes/day21,603361fb-f12d-4035-94b7-af4f0162e155,,,
8,14 November - 18 November,2022-11-18,,class,"Free products, free groups, & group presentations",,233–247,,notes/day22,f684b161-bea1-40aa-b227-af5101635cb4,,hw/week08,
9,21 November - 25 November,2022-11-21,,class,Seifert-van Kampen Theorem: statement & applications,,251–263,,notes/day23,c58dc72b-05a0-4e31-b1b6-af540163d6da,,,
9,21 November - 25 November,2022-11-23,,cancelled,"Thanksgiving holiday, **no class**",,,,,,,,
9,21 November - 25 November,2022-11-25,,cancelled,"Thanksgiving holiday, **no class**",,,,,,,,
10,28 November - 2 December,2022-11-28,,class,$\pi_1$ of compact surfaces & classification,,264–267,,notes/day24,a3b807d9-0481-4523-8179-af5b016258d0,,,
10,28 November - 2 December,2022-11-30,,class,Proof of Seifert-van Kampen,,268–272,,notes/day25,9a88ef43-b3f0-4f6f-8cbe-af5d017426b8,,,
10,28 November - 2 December,2022-12-02,,class,Knot groups,,,,,,notes/handout10F,hw/week10,
11,5 December - 9 December,2022-12-05,,review,Review & moduli of pentagons,,,,notes/day27,a84fe7bf-de0e-47a9-82a3-af620162feb4,,,
11,5 December - 9 December,2022-12-07,,review,Review & exponential topologies,,,,notes/day28,cfcd51ea-408c-4006-abb4-af64016290aa,,,
11,5 December - 9 December,2022-12-09,,review,"Review, configuration spaces, & braids",,,,notes/day29,6ec8538a-505e-432c-a42a-af660162fb90,,hw/week11,
finals week,12 December - 16 December,,,note,,,,,,,,,Thirty-minute oral exams. Scheduling link available on Zulip. - [Practice problems](/files/544/hw/final_practice.pdf)
