orig,compressed,path
54081719,38009716,PCMI UFP.pdf
44629195,24974403,UW_Htpy_Combo.pdf
35718192,3388638,113full_text.pdf
35732897,3388045,113spring26/113full_text.pdf
21956972,15826409,544/notes/day09.pdf
27875005,19964379,Math_Hour_UW.pdf
33455519,13720474,MHH_Fields.pdf
37836189,16837005,MHH Talk.pdf
16455088,12105820,545/notes/day11.pdf
15880740,11727392,546/notes/day07.pdf
18426426,4592467,UW_Combo.pdf
15268292,10926876,544/notes/day07.pdf
15459351,11167241,544/notes/day21.pdf
14990872,10851099,544/notes/day10.pdf
14889139,9973149,546/notes/day26.pdf
14842515,10901416,546/notes/day08.pdf
14840022,8982245,eCHT_18April23.pdf
14307355,10501280,545/notes/day12.pdf
14745840,10864470,545/notes/day03.pdf
14704120,10714253,545/notes/day09.pdf
14331294,10296588,544/notes/day08.pdf
13891708,10242067,546/notes/day22.pdf
14091033,9867480,544/notes/day03.pdf
14219253,10161022,544/notes/day23.pdf
13702159,9701132,544/notes/day04.pdf
13561090,9657015,545/notes/day23.pdf
13395409,9885760,545/notes/day14.pdf
13300712,9791583,545/notes/day13.pdf
13299468,9515311,544/notes/day14.pdf
13291521,9618519,545/notes/day10.pdf
13210295,9741082,546/notes/day10.pdf
12463920,9107490,545/notes/day06.pdf
13171002,4605259,mathshapes.pdf
12358611,9123258,545/notes/day05.pdf
12301245,9069941,546/notes/day13.pdf
12292804,9072520,546/notes/day17.pdf
12103528,8879389,546/notes/day23.pdf
12230097,8995488,545/notes/day21.pdf
12113031,8653817,544/notes/day06.pdf
12045023,8515355,544/notes/day02.pdf
11970048,8837421,545/notes/day07.pdf
11963932,8814726,546/notes/day25.pdf
11967803,8512301,544/notes/day05.pdf
11926082,8772971,546/notes/day15.pdf
11923324,8737572,411/411_11.pdf
11865965,8775710,545/notes/day08.pdf
11864369,8765581,546/notes/day14.pdf
11707348,8606138,546/notes/day02.pdf
11747349,8633629,411/411_12.pdf
11793170,8638628,546/notes/day09.pdf
11541711,8285244,544/notes/day16.pdf
11422235,8409914,546/notes/day03.pdf
11481952,8473949,546/notes/day05.pdf
11522189,8484537,545/notes/day18.pdf
11398668,8191073,544/notes/day17.pdf
11259047,8267445,546/notes/day04.pdf
11357404,8330876,411/411_09.pdf
